Title,Date,Language,Author,MGender,CGender,NGender,journal,publisher,topics
"Hyperopic correction: clinical validation with epithelium-on and epithelium-off protocols, using variable fluence and topographically customized collagen corneal crosslinking",2014-12-01,English,Anastasios John,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
"Hyperopic correction: clinical validation with epithelium-on and epithelium-off protocols, using variable fluence and topographically customized collagen corneal crosslinking",2014-12-01,English,George Asimellis1,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Huilan Liu,unknown,unknown,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Huijuan Huang,unknown,female,unknown,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Boheng Li,unknown,unknown,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Bifang Wu,unknown,unknown,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Fengmei Wang,unknown,unknown,unknown,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Xiao hua,unknown,female,unknown,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Qingxia Chen,unknown,unknown,unknown,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Bifang Wu,unknown,unknown,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause,2014-12-01,English,Xiaojie FanDepartment,unknown,unisex,unknown,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Evaluation of actual retinal images produced by misaligned aspheric intraocular lenses in&amp;nbsp;a&amp;nbsp;model eye,2014-11-01,English,Takashi Fujikado,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Evaluation of actual retinal images produced by misaligned aspheric intraocular lenses in&amp;nbsp;a&amp;nbsp;model eye,2014-11-01,English,Makoto Saika2,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
First year clinical tutorials: students&amp;rsquo; learning experience,2014-11-01,English,Annette Burgess,female,female,female,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
First year clinical tutorials: students&amp;rsquo; learning experience,2014-11-01,English,Kim Oates,unknown,female,female,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
First year clinical tutorials: students&amp;rsquo; learning experience,2014-11-01,English,Kerry Goulston,unknown,unisex,unknown,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
First year clinical tutorials: students&amp;rsquo; learning experience,2014-11-01,English,Craig Mellis1,male,male,male,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Status of simulation in health care education: an international survey,2014-11-01,English,Karim Qayumi,unknown,male,male,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Status of simulation in health care education: an international survey,2014-11-01,English,George Pachev,male,male,male,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Status of simulation in health care education: an international survey,2014-11-01,English,Bin Zheng,male,male,unknown,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Status of simulation in health care education: an international survey,2014-11-01,English,Amitai Ziv,male,male,male,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Status of simulation in health care education: an international survey,2014-11-01,English,Valentyna Koval,unknown,female,female,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Status of simulation in health care education: an international survey,2014-11-01,English,Sadia Badiei,female,female,female,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Status of simulation in health care education: an international survey,2014-11-01,English,Adam Cheng6,male,male,male,Advances in Medical Education and Practice,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']"
Genetic and epigenetic catalysts in early-life programming of adult cardiometabolic disorders,2014-12-01,English,Angela C,female,female,female,Diabetes,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Genetic and epigenetic catalysts in early-life programming of adult cardiometabolic disorders,2014-12-01,English,Paul W,male,male,male,Diabetes,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Ocular surface squamous neoplasia in HIV-positive and HIV-negative patients and response to 5-fluorouracil in Angola,2014-12-01,English,Robert J,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Ocular surface squamous neoplasia in HIV-positive and HIV-negative patients and response to 5-fluorouracil in Angola,2014-12-01,English,John L,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Ocular surface squamous neoplasia in HIV-positive and HIV-negative patients and response to 5-fluorouracil in Angola,2014-12-01,English,William H,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Achieving best practice tariff may not reflect improved survival after hip fracture treatment,"
",English,Sameer K,male,male,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Achieving best practice tariff may not reflect improved survival after hip fracture treatment,"
",English,Mark DF,male,male,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Achieving best practice tariff may not reflect improved survival after hip fracture treatment,"
",English,Clare Glennie,unknown,female,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Achieving best practice tariff may not reflect improved survival after hip fracture treatment,"
",English,Paul V,male,male,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Achieving best practice tariff may not reflect improved survival after hip fracture treatment,"
",English,David J,male,male,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Hui Cai,female,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Lu Wen,female,female,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Lu Wen,female,female,female,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Nicola Tirelli,unknown,female,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Yue Zhang,unknown,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Yue Zhang,unknown,female,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Huanpeng Su,unknown,unknown,male,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Fan Yang,female,unisex,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration,2014-12-01,English,Gang Chen1,unknown,male,unknown,International Journal of Nanomedicine,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,EGFR R521K,unknown,unknown,female,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Yi-Shing Leu,unknown,unknown,female,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Jehn-Chuan Lee,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Chung-Ji Liu,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Chieh-Yuan Cheng,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Jiun-Sheng Lin,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Chi-Kuan Chen,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Chi-Kuan Chen,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Yi-Fang Chang1,unknown,unisex,unknown,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Ruey-Kuen Hsieh,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy,2014-11-01,English,Yi-Fang Chang1,unknown,unisex,unknown,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Minimally invasive veneers: current state of the art,2014-11-01,English,Vanlıoğlu BA,unknown,unknown,female,Clinical,Dove Press,"['Dentistry', 'RK1-715', 'Medicine', 'R']"
Minimally invasive veneers: current state of the art,2014-11-01,English,Kulak-Özkan Y,unknown,unknown,male,Clinical,Dove Press,"['Dentistry', 'RK1-715', 'Medicine', 'R']"
Discovery of potential drugs for human-infecting H7N9 virus containing R294K mutation,"
",English,Jiao-Yu He,unknown,unknown,male,Drug Design,Dove Press,"['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']"
Discovery of potential drugs for human-infecting H7N9 virus containing R294K mutation,"
",English,misparsed,unknown,unknown,misparsed,Drug Design,Dove Press,"['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']"
Discovery of potential drugs for human-infecting H7N9 virus containing R294K mutation,"
",English,Guo Wu3,unknown,male,male,Drug Design,Dove Press,"['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']"
Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects,2014-11-01,English,David A,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects,2014-11-01,English,Rashed N,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects,2014-11-01,English,Sankaranarayana P,unknown,unknown,female,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects,2014-11-01,English,Gregory S,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects,2014-11-01,English,USA ,unknown,unknown,misparsed,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects,2014-11-01,English,misparsed,unknown,unknown,misparsed,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects,2014-11-01,English,Jacob A,male,male,male,Clinical Ophthalmology,Dove Press,"['Ophthalmology', 'RE1-994', 'Medicine', 'R']"
Complications of the endovascular management of acute ischemic stroke,2014-11-01,English,Heather L,female,female,female,Vascular Health and Risk Management,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Complications of the endovascular management of acute ischemic stroke,2014-11-01,English,Jeffrey J,male,male,male,Vascular Health and Risk Management,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Complications of the endovascular management of acute ischemic stroke,2014-11-01,English,In-Kyong Parrack,unknown,unknown,female,Vascular Health and Risk Management,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Complications of the endovascular management of acute ischemic stroke,2014-11-01,English,Zhen S,male,unisex,male,Vascular Health and Risk Management,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Complications of the endovascular management of acute ischemic stroke,2014-11-01,English,Andrew J,male,male,male,Vascular Health and Risk Management,Dove Press,"['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
"Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss",2014-12-01,English,S Barja-Fernandez,unknown,unknown,unknown,Drug Design,Dove Press,"['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']"
"Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss",2014-12-01,English,R Leis,unknown,unknown,unknown,Drug Design,Dove Press,"['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']"
"Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss",2014-12-01,English,FF Casanueva,unknown,unknown,male,Drug Design,Dove Press,"['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']"
"Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss",2014-12-01,English,LM Seoane1,unknown,unknown,female,Drug Design,Dove Press,"['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']"
"Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP",2014-12-01,English,Fryni Riga,unknown,female,female,Clinical Ophthalmology,Dove Press,"['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']"
"Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP",2014-12-01,English,Ilias Georgalas,male,male,male,Clinical Ophthalmology,Dove Press,"['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']"
"Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP",2014-12-01,English,Panagiotis Tsikripis,male,male,male,Clinical Ophthalmology,Dove Press,"['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']"
"Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP",2014-12-01,English,Dimitrios Papaconstantinou,male,male,male,Clinical Ophthalmology,Dove Press,"['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']"
A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting,2014-12-01,English,Tariq M,male,male,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting,2014-12-01,English,misparsed,unknown,unknown,misparsed,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting,2014-12-01,English,Beata Bajorek,female,female,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting,2014-12-01,English,Lisa G,female,female,female,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Efficacy and tolerability of Ginkgo biloba extract EGb 761&amp;reg; in dementia: a systematic review and meta-analysis of randomized placebo-controlled trials,"
",English,Serge Gauthier,male,male,male,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Efficacy and tolerability of Ginkgo biloba extract EGb 761&amp;reg; in dementia: a systematic review and meta-analysis of randomized placebo-controlled trials,"
",English,misparsed,unknown,unknown,misparsed,Clinical Interventions in Aging,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
Aspirin overutilization for the primary prevention of cardiovascular disease,2014-12-01,English,Jeffrey J,male,male,male,Clinical Epidemiology,Dove Press,"['Infectious and parasitic diseases', 'RC109-216', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Aspirin overutilization for the primary prevention of cardiovascular disease,2014-12-01,English,Aaron W,male,male,male,Clinical Epidemiology,Dove Press,"['Infectious and parasitic diseases', 'RC109-216', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Aspirin overutilization for the primary prevention of cardiovascular disease,2014-12-01,English,Shereif H,unknown,unknown,male,Clinical Epidemiology,Dove Press,"['Infectious and parasitic diseases', 'RC109-216', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Isabell Witzel,female,female,female,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Karin Milde-Langosch,female,female,female,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Marcus Schmidt,male,male,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Thomas Karn,male,male,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Sven Becker,male,male,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Ralph Wirtz,male,male,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Achim Rody,unknown,male,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Elena Laakmann,female,female,female,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Schütze D,unknown,unknown,female,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Jänicke F,unknown,unknown,female,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer,"
",English,Müller V,unknown,unknown,male,OncoTargets and Therapy,Dove Press,"['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']"
Simultaneous growth of two cancer cell lines demonstrates variability in growth rates,2014-11-01,English,Agnes Hamon,female,female,female,Open Access Medical Statistics,Dove Press,"['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
Simultaneous growth of two cancer cell lines demonstrates variability in growth rates,2014-11-01,English,Marie Tosolini,female,female,female,Open Access Medical Statistics,Dove Press,"['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
Simultaneous growth of two cancer cell lines demonstrates variability in growth rates,2014-11-01,English,Bernard Ycart,male,male,male,Open Access Medical Statistics,Dove Press,"['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
Simultaneous growth of two cancer cell lines demonstrates variability in growth rates,2014-11-01,English,misparsed,unknown,unknown,misparsed,Open Access Medical Statistics,Dove Press,"['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
Simultaneous growth of two cancer cell lines demonstrates variability in growth rates,2014-11-01,English,misparsed,unknown,unknown,misparsed,Open Access Medical Statistics,Dove Press,"['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']"
User involvement as sharing knowledge &amp;ndash; an extended perspective in patient education,2014-12-01,English,Strøm A,unknown,unknown,female,Journal of Multidisciplinary Healthcare,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
User involvement as sharing knowledge &amp;ndash; an extended perspective in patient education,2014-12-01,English,May Solveig,unknown,female,female,Journal of Multidisciplinary Healthcare,Dove Press,"['Medicine (General)', 'R5-920', 'Medicine', 'R']"
