"","Title","Date","Language","Author","MGender","CGender","journal","publisher","topics","RGender"
"107","Hyperopic correction: clinical validation with epithelium-on and epithelium-off protocols, using variable fluence and topographically customized collagen corneal crosslinking","2014-12-01","English","George","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"108","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Huilan","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"109","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Huijuan","unknown","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"110","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Boheng","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"111","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Bifang","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"112","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Fengmei","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"113","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Xiao","unknown","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"114","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Qingxia","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"115","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Bifang","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"116","Olive oil in the prevention and treatment of&amp;nbsp;osteoporosis after artificial menopause","2014-12-01","English","Xiaojie","unknown","unisex","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"117","Evaluation of actual retinal images produced by misaligned aspheric intraocular lenses in&amp;nbsp;a&amp;nbsp;model eye","2014-11-01","English","Takashi","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"118","Evaluation of actual retinal images produced by misaligned aspheric intraocular lenses in&amp;nbsp;a&amp;nbsp;model eye","2014-11-01","English","Makoto","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"119","First year clinical tutorials: students&amp;rsquo; learning experience","2014-11-01","English","Annette","female","female","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","female"
"120","First year clinical tutorials: students&amp;rsquo; learning experience","2014-11-01","English","Kim","unknown","female","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","female"
"121","First year clinical tutorials: students&amp;rsquo; learning experience","2014-11-01","English","Kerry","unknown","unisex","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","female"
"122","First year clinical tutorials: students&amp;rsquo; learning experience","2014-11-01","English","Craig","male","male","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","male"
"123","Status of simulation in health care education: an international survey","2014-11-01","English","Karim","unknown","male","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","male"
"124","Status of simulation in health care education: an international survey","2014-11-01","English","George","male","male","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","male"
"125","Status of simulation in health care education: an international survey","2014-11-01","English","Bin","male","male","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","male"
"126","Status of simulation in health care education: an international survey","2014-11-01","English","Amitai","male","male","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","male"
"127","Status of simulation in health care education: an international survey","2014-11-01","English","Valentyna","unknown","female","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","unknown"
"128","Status of simulation in health care education: an international survey","2014-11-01","English","Sadia","female","female","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","female"
"129","Status of simulation in health care education: an international survey","2014-11-01","English","Adam","male","male","Advances in Medical Education and Practice","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R', 'Special aspects of education', 'LC8-6691', 'Education', 'L']","male"
"130","Genetic and epigenetic catalysts in early-life programming of adult cardiometabolic disorders","2014-12-01","English","Angela","female","female","Diabetes","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"131","Genetic and epigenetic catalysts in early-life programming of adult cardiometabolic disorders","2014-12-01","English","Paul","male","male","Diabetes","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"132","Ocular surface squamous neoplasia in HIV-positive and HIV-negative patients and response to 5-fluorouracil in Angola","2014-12-01","English","Robert","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"133","Ocular surface squamous neoplasia in HIV-positive and HIV-negative patients and response to 5-fluorouracil in Angola","2014-12-01","English","John","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"134","Ocular surface squamous neoplasia in HIV-positive and HIV-negative patients and response to 5-fluorouracil in Angola","2014-12-01","English","William","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"135","Achieving best practice tariff may not reflect improved survival after hip fracture treatment","
","English","Sameer","male","male","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"136","Achieving best practice tariff may not reflect improved survival after hip fracture treatment","
","English","Mark","male","male","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"137","Achieving best practice tariff may not reflect improved survival after hip fracture treatment","
","English","Clare","unknown","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"138","Achieving best practice tariff may not reflect improved survival after hip fracture treatment","
","English","Paul","male","male","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"139","Achieving best practice tariff may not reflect improved survival after hip fracture treatment","
","English","David","male","male","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"140","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Hui","female","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"141","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Lu","female","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"142","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Lu","female","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"143","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Nicola","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"144","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Yue","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"145","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Yue","unknown","female","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"146","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Huanpeng","unknown","unknown","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"147","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Fan","female","unisex","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"148","Enhanced local bioavailability of single or compound drugs delivery to the inner ear through application of PLGA nanoparticles via round window administration","2014-12-01","English","Gang","unknown","male","International Journal of Nanomedicine","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"149","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","EGFR","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"150","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Yi-Shing","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"151","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Jehn-Chuan","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"152","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Chung-Ji","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"153","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Chieh-Yuan","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"154","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Jiun-Sheng","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"155","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Chi-Kuan","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"156","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Chi-Kuan","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"157","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Yi-Fang","unknown","unisex","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"158","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Ruey-Kuen","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"159","EGF and EGFR genetic polymorphisms predict prognosis in locally advanced pharyngolaryngeal squamous cell carcinoma patients receiving postoperative concurrent chemoradiotherapy","2014-11-01","English","Yi-Fang","unknown","unisex","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"160","Minimally invasive veneers: current state of the art","2014-11-01","English","Vanlıoğlu BA","unknown","unknown","Clinical","Dove Press","['Dentistry', 'RK1-715', 'Medicine', 'R']","unknown"
"161","Minimally invasive veneers: current state of the art","2014-11-01","English","Kulak-Özkan Y","unknown","unknown","Clinical","Dove Press","['Dentistry', 'RK1-715', 'Medicine', 'R']","unknown"
"162","Discovery of potential drugs for human-infecting H7N9 virus containing R294K mutation","
","English","Jiao-Yu","unknown","unknown","Drug Design","Dove Press","['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']","unknown"
"163","Discovery of potential drugs for human-infecting H7N9 virus containing R294K mutation","
","English","misparsed","unknown","unknown","Drug Design","Dove Press","['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']","unknown"
"164","Discovery of potential drugs for human-infecting H7N9 virus containing R294K mutation","
","English","Guo","unknown","male","Drug Design","Dove Press","['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']","unknown"
"165","Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects","2014-11-01","English","David","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"166","Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects","2014-11-01","English","Rashed","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"167","Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects","2014-11-01","English","Sankaranarayana","unknown","unknown","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","unknown"
"168","Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects","2014-11-01","English","Gregory","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"169","Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects","2014-11-01","English","USA","unknown","unknown","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","unknown"
"170","Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects","2014-11-01","English","misparsed","unknown","unknown","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","unknown"
"171","Utility of Heidelberg retinal tomography as a screening tool for analyzing retinal nerve fiber layer defects","2014-11-01","English","Jacob","male","male","Clinical Ophthalmology","Dove Press","['Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"172","Complications of the endovascular management of acute ischemic stroke","2014-11-01","English","Heather","female","female","Vascular Health and Risk Management","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"173","Complications of the endovascular management of acute ischemic stroke","2014-11-01","English","Jeffrey","male","male","Vascular Health and Risk Management","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"174","Complications of the endovascular management of acute ischemic stroke","2014-11-01","English","In-Kyong","unknown","unknown","Vascular Health and Risk Management","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"175","Complications of the endovascular management of acute ischemic stroke","2014-11-01","English","Zhen","male","unisex","Vascular Health and Risk Management","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"176","Complications of the endovascular management of acute ischemic stroke","2014-11-01","English","Andrew","male","male","Vascular Health and Risk Management","Dove Press","['Diseases of the circulatory (Cardiovascular) system', 'RC666-701', 'Specialties of internal medicine', 'RC581-951', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"177","Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss","2014-12-01","English","S","unknown","unknown","Drug Design","Dove Press","['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']","unknown"
"178","Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss","2014-12-01","English","R","unknown","unknown","Drug Design","Dove Press","['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']","unknown"
"179","Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss","2014-12-01","English","FF","unknown","unknown","Drug Design","Dove Press","['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']","unknown"
"180","Drug development strategies for the treatment of obesity: how to ensure efficacy, safety, and&amp;nbsp;sustainable weight loss","2014-12-01","English","LM","unknown","unknown","Drug Design","Dove Press","['Medicine', 'R', 'Medicine (General)', 'R5-920', 'Therapeutics. Pharmacology', 'RM1-950']","unknown"
"181","Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP","2014-12-01","English","Fryni","unknown","female","Clinical Ophthalmology","Dove Press","['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']","unknown"
"182","Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP","2014-12-01","English","Ilias","male","male","Clinical Ophthalmology","Dove Press","['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"183","Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP","2014-12-01","English","Panagiotis","male","male","Clinical Ophthalmology","Dove Press","['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"184","Comparison study of OCT, HRT and VF findings among normal controls and patients with pseudoexfoliation, with or without increased IOP","2014-12-01","English","Dimitrios","male","male","Clinical Ophthalmology","Dove Press","['\n', 'Ophthalmology', 'RE1-994', 'Medicine', 'R']","male"
"185","A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting","2014-12-01","English","Tariq","male","male","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"186","A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting","2014-12-01","English","misparsed","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"187","A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting","2014-12-01","English","Beata","female","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"188","A systematic review of the prevalence and risk factors for adverse drug reactions in the elderly in&amp;nbsp;the acute care setting","2014-12-01","English","Lisa","female","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"189","Efficacy and tolerability of Ginkgo biloba extract EGb 761&amp;reg; in dementia: a systematic review and meta-analysis of randomized placebo-controlled trials","
","English","Serge","male","male","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","male"
"190","Efficacy and tolerability of Ginkgo biloba extract EGb 761&amp;reg; in dementia: a systematic review and meta-analysis of randomized placebo-controlled trials","
","English","misparsed","unknown","unknown","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"191","Aspirin overutilization for the primary prevention of cardiovascular disease","2014-12-01","English","Jeffrey","male","male","Clinical Epidemiology","Dove Press","['Infectious and parasitic diseases', 'RC109-216', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"192","Aspirin overutilization for the primary prevention of cardiovascular disease","2014-12-01","English","Aaron","male","male","Clinical Epidemiology","Dove Press","['Infectious and parasitic diseases', 'RC109-216', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"193","Aspirin overutilization for the primary prevention of cardiovascular disease","2014-12-01","English","Shereif","unknown","unknown","Clinical Epidemiology","Dove Press","['Infectious and parasitic diseases', 'RC109-216', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"194","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Isabell","female","female","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"195","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Karin","female","female","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"196","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Marcus","male","male","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"197","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Thomas","male","male","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"198","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Sven","male","male","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"199","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Ralph","male","male","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","male"
"200","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Achim","unknown","male","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"201","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Elena","female","female","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","female"
"202","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Schütze D","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"203","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Jänicke F","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"204","Role of urokinase plasminogen activator and plasminogen activator inhibitor mRNA expression as prognostic factors in molecular subtypes of breast cancer","
","English","Müller V","unknown","unknown","OncoTargets and Therapy","Dove Press","['Neoplasms. Tumors. Oncology. Including cancer and carcinogens', 'RC254-282', 'Internal medicine', 'RC31-1245', 'Medicine', 'R']","unknown"
"205","Simultaneous growth of two cancer cell lines demonstrates variability in growth rates","2014-11-01","English","Agnes","female","female","Open Access Medical Statistics","Dove Press","['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","female"
"206","Simultaneous growth of two cancer cell lines demonstrates variability in growth rates","2014-11-01","English","Marie","female","female","Open Access Medical Statistics","Dove Press","['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","female"
"207","Simultaneous growth of two cancer cell lines demonstrates variability in growth rates","2014-11-01","English","Bernard","male","male","Open Access Medical Statistics","Dove Press","['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","male"
"208","Simultaneous growth of two cancer cell lines demonstrates variability in growth rates","2014-11-01","English","Pont","unknown","unknown","Open Access Medical Statistics","Dove Press","['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","unknown"
"209","Simultaneous growth of two cancer cell lines demonstrates variability in growth rates","2014-11-01","English","misparsed","unknown","unknown","Open Access Medical Statistics","Dove Press","['Public aspects of medicine', 'RA1-1270', 'Medicine', 'R']","unknown"
"210","User involvement as sharing knowledge &amp;ndash; an extended perspective in patient education","2014-12-01","English","Strøm A","unknown","unknown","Journal of Multidisciplinary Healthcare","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","unknown"
"211","User involvement as sharing knowledge &amp;ndash; an extended perspective in patient education","2014-12-01","English","May","unknown","female","Journal of Multidisciplinary Healthcare","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"212","Care pathways for dementia: current perspectives","2014-11-01","English","Kritika","female","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
"213","Care pathways for dementia: current perspectives","2014-11-01","English","Jill","female","female","Clinical Interventions in Aging","Dove Press","['Medicine (General)', 'R5-920', 'Medicine', 'R']","female"
